licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county,Full_address,latitude,longitude,g_address
N0099,Publican's Licence (7-Day Ordinary),Domnic Lydon,The Dubliner Public House,,98 Parnell Street,,,Dublin 1,"The Dubliner Public House, 98 Parnell Street, Dublin 1",53.3495949,-6.2690321,"House, 98, The Life House, 1 Parnell St, North City, Dublin 1, D01 TF70, Ireland"
N1064,Publican's Licence (7-Day Ordinary),Alzwar Limited,The Oval,,78 Middle Abbey Street,,,Dublin 1,"The Oval, 78 Middle Abbey Street, Dublin 1",53.3484631,-6.260295699999999,"78 Middle Abbey St, North City, Dublin 1, Ireland"
N0055,Publican's Licence (7-Day Ordinary),Clb Publicans Limited,74 Talbot,,74 Talbot Street,,,Dublin 1,"74 Talbot, 74 Talbot Street, Dublin 1",53.35088709999999,-6.2528635,"74 Talbot St, D01 E4H9, Talbot St, Dublin 1, D01 E4H9, Ireland"
N0017,Publican's Licence (7-Day Ordinary),Carleton Trading Limited,The Auld Triangle,,28/29 Lower Dorset Street,,,Dublin 1,"The Auld Triangle, 28/29 Lower Dorset Street, Dublin 1",53.3590068,-6.261700299999999,"28 Dorset Street Lower, Mountjoy, Dublin, Ireland"
N0088,Publican's Licence (7-Day Ordinary),Moonlighting Taverns Limited,Jim Beam's,,68 Upper Dorset Street,,,Dublin 1,"Jim Beam's, 68 Upper Dorset Street, Dublin 1",53.3571652,-6.2639184,"s, 68 Dorset Street Upper, Rotunda, Dublin 1, D01 KT22, Ireland"
1013149,Publican's Licence (7-Day Ordinary),Urban Brewing Limited,Urban Brewing,,Vault C,Chq Building,"Custom House Quay, Ifsc",Dublin 1,"Urban Brewing, Vault C, Chq Building, Custom House Quay, Ifsc, Dublin 1",53.34907519999999,-6.2482662,"Vault C, CHQ Building, Custom House Quay, Dublin, Ireland"
N0029,Publican's Licence (7-Day Ordinary),Keadarr Limited,The Strand House,,172 North Strand Road,"(ground Floor, First Floor & Basement)",,Dublin 1,"The Strand House, 172 North Strand Road, (ground Floor, First Floor & Basement), Dublin 1",53.3549663,-6.245943599999999,"172 N Strand Rd, North Strand, Dublin 1, Co. Dublin, D01 HN36, Ireland"
N0068,Publican's Licence (7-Day Ordinary),Declan Glynn,The Meeting Point Public House,,100 Upper Dorset Street,,,Dublin 1,"The Meeting Point Public House, 100 Upper Dorset Street, Dublin 1",53.3554937,-6.265970599999999,"100 Dorset Street Upper, Inns Quay, Dublin 1, Ireland"
N0009,Publican's Licence (7-Day Ordinary),Greg Hanney,Lloyds Bar And Lounge,,46 Amiens Street,,,Dublin 1,"Lloyds Bar And Lounge, 46 Amiens Street, Dublin 1",53.3527741,-6.248973299999999,"46 Amiens St, Mountjoy, Dublin, Co. Dublin, D01 PV40, Ireland"
N0023,Publican's Licence (7-Day Ordinary),Admiral Restaurant Limited,Admiral,,Corner Of Marlborough Street,And Sean Mcdermott Street,,Dublin 1,"Admiral, Corner Of Marlborough Street, And Sean Mcdermott Street, Dublin 1",53.352306,-6.258913,"1, Q-Park, Marlborough Street, North City, Dublin, Ireland"
1013727,Publican's Licence (7-Day Ordinary),Petrina Loughran,Kavanaghs Pub,,"3,4,5 Lower Dorset Street And 3 Georges Place",,,Dublin 1,"Kavanaghs Pub, 3,4,5 Lower Dorset Street And 3 Georges Place, Dublin 1",53.357308,-6.263601,"71 Dorset Street Upper, Rotunda, Dublin 1, Ireland"
N2311,Publican's Licence (7-Day Ordinary),Trexel Properties Limited,The Gin Palace,,42 Middle Abbey Street And,15 Lower Liffey Street,,Dublin 1,"The Gin Palace, 42 Middle Abbey Street And, 15 Lower Liffey Street, Dublin 1",53.347862,-6.2633876,"42 Middle Abbey St, North City, Dublin, D01 R260, Ireland"
N0025,Publican's Licence (7-Day Ordinary),James Gill Limited,James Gill,,555 North Circular Road,And 1 Russell Street,,Dublin 1,"James Gill, 555 North Circular Road, And 1 Russell Street, Dublin 1",53.3585185,-6.2543228,"North Circular Road N Circular Rd, Drumcondra, Dublin 1, D01 XP03, Ireland"
N0020,Publican's Licence (7-Day Ordinary),Inishelm Limited,T/a The Red Parrot,,58 Lower Dorset Street,,,Dublin 1,"T/a The Red Parrot, 58 Lower Dorset Street, Dublin 1",53.3610675,-6.2595344,"58 Dorset Street Lower, Ballybough, Dublin, Ireland"
1000064,Publican's Licence (7-Day Ordinary),Valledorado Limited,Mcneills,,140 Capel Street,,,Dublin 1,"Mcneills, 140 Capel Street, Dublin 1",53.3477628,-6.2686698,"140 Capel St, North City, Dublin, D01 F9R2, Ireland"
N2030,Publican's Licence (7-Day Ordinary),Nolan Transport,The Isaac Butt Bar And Restaurant,Patricia Nolan,"Part Of No's 21,22 & 23 Store Street",Part Of No's  5 & 6 Frenchmans Lane,,Dublin 1,"The Isaac Butt Bar And Restaurant, Part Of No's 21,22 & 23 Store Street, Part Of No's  5 & 6 Frenchmans Lane, Dublin 1",53.3500865,-6.252750799999999,"No's, 21 Store St, Mountjoy, Dublin 1, D01 T9R2, Ireland"
N1069,Publican's Licence (7-Day Ordinary),Hugh Hourican,The Boars Head,,149 Capel Street,,,Dublin 1,"The Boars Head, 149 Capel Street, Dublin 1",53.3473704,-6.268536399999999,"149 Capel St, North City, Dublin, Ireland"
N0066,Publican's Licence (7-Day Ordinary),Kathleen Hennessy,The Findlater,,80 Upper Dorset Street,,,Dublin 1,"The Findlater, 80 Upper Dorset Street, Dublin 1",53.3569883,-6.2646411,"80 Dorset Street Upper, Phibsborough, Dublin, Ireland"
N2540,Publican's Licence (7-Day Ordinary),Pegaso Limited,The Church,,Mary Street,,,Dublin 1,"The Church, Mary Street, Dublin 1",53.35088349999999,-6.2589421,"83 Marlborough Place, North City, Dublin, D01 TX49, Ireland"
N2760,Publican's Licence (7-Day Ordinary),Moport Limited,Koh Restaurant,,Portion Of Basement & Ground Floor,Of 6 7 8 & 8a Jervis Street,And 21-26 (inclusive) Abbey Street Upper,Dublin 1,"Koh Restaurant, Portion Of Basement & Ground Floor, Of 6 7 8 & 8a Jervis Street, And 21-26 (inclusive) Abbey Street Upper, Dublin 1",53.3474369,-6.2655699,"6/7 Jervis St, Millennium Walkway, North City, Dublin 1, Ireland"
N0096,Publican's Licence (7-Day Ordinary),Hill Street Inn Limited,Stoneys,,27 Hill Street,,,Dublin 1,"Stoneys, 27 Hill Street, Dublin 1",53.35520090000001,-6.2604042,"27 Hill St, Rotunda, Dublin 1, D01 HT26, Ireland"
N2390,Publican's Licence (7-Day Ordinary),Woodenbarrell Limited,Lagoona,,"Unit 4, Phase 3",Custom House Square,Mayor Street Lower,Dublin 1,"Lagoona, Unit 4, Phase 3, Custom House Square, Mayor Street Lower, Dublin 1",53.3495791,-6.2430775,"Unit 4, Custom House Square, Mayor Street Lower, North Dock, Dublin, Ireland"
N0107,Publican's Licence (7-Day Ordinary),Kyoung Hee Limited,T/a The Shakespeare Bar,,160/161 Parnell Street,,,Dublin 1,"T/a The Shakespeare Bar, 160/161 Parnell Street, Dublin 1",53.3530301,-6.260914199999999,"160-161 Parnell St, Rotunda, Dublin, D01 Y4A7, Ireland"
1010576,Publican's Licence (7-Day Ordinary),Yamamori Sushi Limited,Yamamori Sushi,,38/39 Lower Ormond Street And 34-36 Great Strand Street,,,Dublin 1,"Yamamori Sushi, 38/39 Lower Ormond Street And 34-36 Great Strand Street, Dublin 1",53.34659079999999,-6.2638409,"38/39 Ormond Quay Lower, North City, Dublin 1, D01 A593, Ireland"
1008947,Publican's Licence (7-Day Ordinary),Total Hospitality Management Limited,The Wiley Fox,,28 Eden Quay,,,Dublin 1,"The Wiley Fox, 28 Eden Quay, Dublin 1",53.3483313,-6.2559502,"28 Eden Quay, North City, Dublin, Co. Dublin, D01 V9Y4, Ireland"
N2438,Publican's Licence (7-Day Ordinary),Declan O'dea And David Fitzpatrick,The Lotts,,9 Lower Liffey Street,"60,61,62 The Lotts",Lower Liffey Street,Dublin 1,"The Lotts, 9 Lower Liffey Street, 60,61,62 The Lotts, Lower Liffey Street, Dublin 1",53.3473617,-6.263325,"9 Liffey Street Lower, North City, Dublin 1, D01 V8P8, Ireland"
N2160,Publican's Licence (7-Day Ordinary),Waddells Wines Limited,The Woolshed Baa And Grill,,"Unit 3 And Unit 4, Parnell Centre",201/215 Parnell Street,,Dublin 1,"The Woolshed Baa And Grill, Unit 3 And Unit 4, Parnell Centre, 201/215 Parnell Street, Dublin 1",53.350356,-6.267389,"The Parnell Centre, Parnell St, Rotunda, Dublin 1, D01 K5N8, Ireland"
N1066,Publican's Licence (7-Day Ordinary),Declan O'dea And David Fitzpatrick,Bachelor Inn,,31 Bachelors Walk And,1 And 2 Williams Row (bachelor Inn),,Dublin 1,"Bachelor Inn, 31 Bachelors Walk And, 1 And 2 Williams Row (bachelor Inn), Dublin 1",53.3474414,-6.2601213,"31 Bachelors Walk, North City, Dublin, Ireland"
N2123,Publican's Licence (7-Day Ordinary),Noel Murray,The Living Room,,1-5 Findlater House,Cathal Brugha Street,28/32 Upper O'connell Street,Dublin 1,"The Living Room, 1-5 Findlater House, Cathal Brugha Street, 28/32 Upper O'connell Street, Dublin 1",53.352182,-6.260847999999999,"28-32 O'Connell Street Upper, Rotunda, Dublin, Ireland"
N0065,Publican's Licence (7-Day Ordinary),Fionn Maccumhaill About Tommckeown & James Staunton & Kevin Fingleton,Aurora Cafe Bar,Tom Mckeown,72/73 Upper Dorset Street,,,Dublin 1,"Aurora Cafe Bar, 72/73 Upper Dorset Street, Dublin 1",53.3572304,-6.263848599999999,"68 Dorset Street Upper, Rotunda, Dublin 1, Co. IE, Ireland"
N1081,Publican's Licence (7-Day Ordinary),Monica Keenan And Pauline Keenan,The Confession Box,,88 Marlborough Street,,,Dublin 1,"The Confession Box, 88 Marlborough Street, Dublin 1",53.3502651,-6.2583654,"88 Marlborough St, North City, Dublin 1, D01 X267, Ireland"
N1068,Publican's Licence (7-Day Ordinary),Slatterys Taverns Limited,Slatterys,,129 130 And 131 Capel Street,,,Dublin 1,"Slatterys, 129 130 And 131 Capel Street, Dublin 1",53.3482748,-6.2688625,"129 Capel St, North City, Dublin 1, D01 YN83, Ireland"
1000012,Publican's Licence (7-Day Ordinary),The Liffey Trust Limited,The Green Room,,117-126 Upper Sheriff Street,,,Dublin 1,"The Green Room, 117-126 Upper Sheriff Street, Dublin 1",53.3497986,-6.230162,"117-126 Upper, Sheriff Street Upper, North Wall, Dublin 1, Ireland"
N1097,Publican's Licence (7-Day Ordinary),Dublin Central Gp Limited,Conways,,70 Parnell Street And,1 Moore Lane,,Dublin 1,"Conways, 70 Parnell Street And, 1 Moore Lane, Dublin 1",53.35197300000001,-6.262469400000001,"70 Parnell St, North City, Dublin 1, D01 NH59, Ireland"
N1833,Publican's Licence (7-Day Ordinary),Sd Entertainments Limited,The Harbourmaster Bar,,Ifsc,,,Dublin 1,"The Harbourmaster Bar, Ifsc, Dublin 1",53.34976200000001,-6.249053,"Customs House Dock IFSC, Dublin 1, D01 W0X8, Ireland"
N0067,Publican's Licence (7-Day Ordinary),Yaveland Limited,Delahuntys,,99 Upper Dorset Street,,,Dublin 1,"Delahuntys, 99 Upper Dorset Street, Dublin 1",53.3554643,-6.2657227,"99 Dorset Street Upper, Rotunda, Dublin, Ireland"
N0106,Publican's Licence (7-Day Ordinary),Metro Public Houses Limited,The Metro,,155 Parnell Street,,,Dublin 1,"The Metro, 155 Parnell Street, Dublin 1",53.3531436,-6.260370099999999,"155-157 Parnell St, Rotunda, Dublin 1, D01 N8C7, Ireland"
N1556,Publican's Licence (7-Day Ordinary),O'connell Street Inns Limited,Murays,,33 Upper O'connell Street,34 Upper O'connell Street (ground Floor Basement & 1st 2nd 3rd Floors),,Dublin 1,"Murays, 33 Upper O'connell Street, 34 Upper O'connell Street (ground Floor Basement & 1st 2nd 3rd Floors), Dublin 1",53.35246,-6.260899999999999,"33-34 O'Connell Street Upper, Rotunda, Dublin 1, Co. Dublin, Ireland"
N0007,Publican's Licence (7-Day Ordinary),Songbird Taverns Limited,Cleary's,,36 And Part Of 37 Amiens Street,Together With The Rear Premises Thereof Abutting Foley Street,,Dublin 1,"Cleary's, 36 And Part Of 37 Amiens Street, Together With The Rear Premises Thereof Abutting Foley Street, Dublin 1",53.3521455,-6.249610499999999,"36 Amiens St, Mountjoy, Dublin, Co. Dublin, Ireland"
N1224,Publican's Licence (7-Day Ordinary),Alabaster Associates Limited,Madigans,Patrick Madigan,The 19 O'connell,19/19a Upper O'connell Street,,Dublin 1,"Madigans, The 19 O'connell, 19/19a Upper O'connell Street, Dublin 1",53.3514401,-6.2604011,"19 O'Connell Street Upper, North City, Dublin 1, Ireland"
N0191,Publican's Licence (7-Day Ordinary),The Panty Bar Limited,Pantibar,,6-7 Capel Street And,68-71 Great Strand Street,,Dublin 1,"Pantibar, 6-7 Capel Street And, 68-71 Great Strand Street, Dublin 1",53.3465704,-6.2678803,"7-8 Capel St, North City, Dublin 1, Ireland"
N1102,Publican's Licence (7-Day Ordinary),Triplett Limited,The Celt Bar,,81 Talbot Street,,82 Talbot Street,Dublin 1,"The Celt Bar, 81 Talbot Street, 82 Talbot Street, Dublin 1",53.3504318,-6.2552464,"81 Talbot St, North City, Dublin, Ireland"
N2375,Publican's Licence (7-Day Ordinary),The Oasis Bar Limited,Sin É,Philip Roe,Part Ground Floor And Part Basement,Of 14 And 15 Upper Ormond Quay,,Dublin 1,"Sin É, Part Ground Floor And Part Basement, Of 14 And 15 Upper Ormond Quay, Dublin 1",53.3459786,-6.269511199999999,"15 Ormond Quay Upper, North City, Dublin, Ireland"
N1103,Publican's Licence (7-Day Ordinary),Wynns Hotel Limited,Wynns Hotel,,35/37 Lower Abbey Street And Upper Floor Of 38/39 Lower Abbey Street,,,Dublin 1,"Wynns Hotel, 35/37 Lower Abbey Street And Upper Floor Of 38/39 Lower Abbey Street, Dublin 1",53.348342,-6.258687999999999,"35-39 Abbey Street Lower, North City, Dublin 1, D01 C9F8, Ireland"
1011776,Publican's Licence (7-Day Ordinary),The Gresham Hotel Company Limited,Riu Plaza The Gresham Dublin,,"20-24 Upper O'connell Street, 7 Cathal","Brugha Street, 69-81 Marlborough Street And",Extensions Attached And Adjoining Thereto,Dublin 1,"Riu Plaza The Gresham Dublin, 20-24 Upper O'connell Street, 7 Cathal, Brugha Street, 69-81 Marlborough Street And, Extensions Attached And Adjoining Thereto, Dublin 1",53.3514192,-6.260858199999999,"23 O'Connell Street Upper, North City, Dublin, D01 C3W7, Ireland"
N1080,Publican's Licence (7-Day Ordinary),Birchmount Taverns Limited,T P Smith's,,18 Upper Abbey Street And,9/10 Jervis Street,,Dublin 1,"T P Smith's, 18 Upper Abbey Street And, 9/10 Jervis Street, Dublin 1",53.3475039,-6.2660123,"9 - 10 Jervis St, North City, Dublin 1, D01 XV66, Ireland"
N1994,Publican's Licence (7-Day Ordinary),Claremont Newclub Limited,The Grand Social,,35 Lower Liffey Street And,40 Lower Ormond Quay,,Dublin 1,"The Grand Social, 35 Lower Liffey Street And, 40 Lower Ormond Quay, Dublin 1",53.3469012,-6.2634767,"35 Liffey Street Lower, North City, Dublin, D01 C3N0, Ireland"
N0084,Publican's Licence (7-Day Ordinary),Pizza Eile Limited,The Black Sheep,,61 / 63 Capel Street,,,Dublin 1,"The Black Sheep, 61 / 63 Capel Street, Dublin 1",53.34979689999999,-6.2690882,"61 Capel St, Rotunda, Dublin, Ireland"
N2298,Publican's Licence (7-Day Ordinary),Fantastic Fiber Limited,Wigwam,,54 Middle Abbey St (basement Ground Floor & Part Of First Floor),,,Dublin 1,"Wigwam, 54 Middle Abbey St (basement Ground Floor & Part Of First Floor), Dublin 1",53.3478286,-6.2622949,"54 Middle Abbey St, North City, Dublin, Ireland"
N2404,Publican's Licence (7-Day Ordinary),Sleitz Limited,Grand Central,,38/89 Lower Abbey Street And,10/11 Lower O'connell Street,,Dublin 1,"Grand Central, 38/89 Lower Abbey Street And, 10/11 Lower O'connell Street, Dublin 1",53.3483235,-6.2590741,"10-11 O'Connell Street Upper, North City, Dublin, D01 XY61, Ireland"
N0006,Publican's Licence (7-Day Ordinary),Pizza Eile Limited,The Brew Dock Bar,Niall Walsh,1 Store Street,,,Dublin 1,"The Brew Dock Bar, 1 Store Street, Dublin 1",53.35008999999999,-6.25107,"1 Amiens St, Mountjoy, Dublin 1, Ireland"
1010777,Publican's Licence (7-Day Ordinary),N And L Kenny Limited,The Kylemore House,,Old Naas Road,,,Dublin 10,"The Kylemore House, Old Naas Road, Dublin 10",53.3282538,-6.3442009,"Old Naas Rd, Inchicore, Dublin, D12 P820, Ireland"
1006700,Publican's Licence (7-Day Ordinary),The County Bars Limited,Colgans,,47-51 Decies Ltd,Ballyfermot,,Dublin 10,"Colgans, 47-51 Decies Ltd, Ballyfermot, Dublin 10",53.341046,-6.3351638,"47 Decies Rd, Kilmainham, Dublin 10, D10 VH56, Ireland"
N1120,Publican's Licence (7-Day Ordinary),Fowlers Public House Limited,Fowler's,,Grange Cross,Junction Le Fanu Rd/ballyfermot Rd,Ballyfermot,Dublin 10,"Fowler's, Grange Cross, Junction Le Fanu Rd/ballyfermot Rd, Ballyfermot, Dublin 10",53.3427176,-6.3565707,"347 Ballyfermot Rd, Drumfinn, Dublin, Ireland"
N1125,Publican's Licence (7-Day Ordinary),Maurice Mitton Stillorgan Limited,Younges,,4/5 Le Fanu Road,Ballyfermot,,Dublin 10,"Younges, 4/5 Le Fanu Road, Ballyfermot, Dublin 10",53.3416982,-6.356709299999999,"220 Le Fanu Rd, Cherry Orchard, Dublin 10, Ireland"
N1058,Publican's Licence (7-Day Ordinary),Regdale Limited,The 79 Inn,,367 Ballyfermot Road,Ballyfermot & Extension Attached,,Dublin 10,"The 79 Inn, 367 Ballyfermot Road, Ballyfermot & Extension Attached, Dublin 10",53.3425533,-6.3587612,"79 Ballyfermot Rd, Cherry Orchard, Dublin, Ireland"
N1057,Publican's Licence (7-Day Ordinary),Kingston Inns Limited,Downeys,,343 Ballyfermot Road,Rere 345 Ballyfermot Road,,Dublin 10,"Downeys, 343 Ballyfermot Road, Rere 345 Ballyfermot Road, Dublin 10",53.3421911,-6.357186,"343 Ballyfermot Rd, Cherry Orchard, Dublin 10, D10 W932, Ireland"
N1203,Publican's Licence (7-Day Ordinary),Etival Limited,Chasers,,308 Ballyfermot Road,(part Thereof),Ballyfermot,Dublin 10,"Chasers, 308 Ballyfermot Road, (part Thereof), Ballyfermot, Dublin 10",53.3424756,-6.3536181,"308 Ballyfermot Rd, Drumfinn, Dublin, Ireland"
N1223,Publican's Licence (7-Day Ordinary),Austin Kelly,The Laurence Lounge,,7/9 Lower Ballyfermot Road,Ballyfermot,,Dublin 10,"The Laurence Lounge, 7/9 Lower Ballyfermot Road, Ballyfermot, Dublin 10",53.34296879999999,-6.3376117,"Kilmainham, Dublin 8, Co. Dublin, Ireland"
N0716,Publican's Licence (7-Day Ordinary),Maykat Limited,Village Inn,,Church Street,Finglas,,Dublin 11,"Village Inn, Church Street, Finglas, Dublin 11",53.3876284,-6.301254,"Finglas South, Dublin, Co. Dublin, Ireland"
N0175,Publican's Licence (7-Day Ordinary),Romont Ltd,T/a The Autobahn,,73/75 Glasnevin Avenue &,Ground Floor Of 77 Glasnevin Avenue,,Dublin 11,"T/a The Autobahn, 73/75 Glasnevin Avenue &, Ground Floor Of 77 Glasnevin Avenue, Dublin 11",53.3897175,-6.2712583,"73 Glasnevin Ave, Ballygall, Dublin 11, Ireland"
N0153,Publican's Licence (7-Day Ordinary),Mbf Taverns Limited,Martin's Bar,,122 Ballygall Road,Finglas,,Dublin 11,"Martin's Bar, 122 Ballygall Road, Finglas, Dublin 11",53.3906257,-6.2880921,"122 Ballygall Rd W, Finglas North, Dublin, D11 TPN7, Ireland"
N1312,Publican's Licence (7-Day Ordinary),Drogheda Lodge Limited,Drogheda Lodge/the Full Shilling,,Main Street,Finglas,,Dublin 11,"Drogheda Lodge/the Full Shilling, Main Street, Finglas, Dublin 11",53.38957509999999,-6.298618,"66 Main Street, Finglas, Dublin 11, D11P7FR Main St, Finglas East, Dublin 11, D11 P7FR, Ireland"
N2178,Publican's Licence (7-Day Ordinary),Ballymun Arts And Community Resource Centre Ltd,Axis,,Main Street,Ballymun,,Dublin 11,"Axis, Main Street, Ballymun, Dublin 11",53.3957892,-6.262727099999999,"9 Main St, Ballymun, Dublin, Co. Dublin City, Ireland"
1000933,Publican's Licence (7-Day Ordinary),Barglade Limited,The Bottom Of The Hill,,34/37 Main Street,Finglas,,Dublin 11,"The Bottom Of The Hill, 34/37 Main Street, Finglas, Dublin 11",53.3862402,-6.2969933,"Bottom of the Hill Pub,Finglas, Finglas South, Dublin, Co. Dublin, Ireland"
